"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"96","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2014",-2.18288016319,"2014","2006","18",0,1,0
"98","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2016",-1.80274426937,"2016","2006","18",0,1,0
"100","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2012",-3.01499938965,"2012","2006","18",0,1,0
"101","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2006",-3.01499938965,"2006","2006","18",0,0,0
"102","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2008",-3.01499938965,"2008","2006","18",0,0,0
"103","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2011",-2.25098824501,"2011","2006","19",0,1,0
"104","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2007",-2.04875230789,"2007","2006","19",0,0,0
"105","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2009",-2.24619936943,"2009","2006","19",0,0,0
"108","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2010",-1.81104123592,"2010","2006","19",0,0,0
"109","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2015",-0.946530520916,"2015","2006","19",0,1,0
"110","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2013",-2.15367221832,"2013","2006","19",0,1,0
"112","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2006",-2.0463206768,"2006","2006","19",0,0,0
"113","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2016",-2.11659431458,"2016","2006","19",0,1,0
"115","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2008",-1.8598960638,"2008","2006","19",0,0,0
"116","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2012",-1.78401529789,"2012","2006","19",0,1,0
"117","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2014",-1.96279072762,"2014","2006","19",0,1,0
"121","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2007",-1.87561166286,"2007","2006","20",0,0,0
"122","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2009",-1.42221319675,"2009","2006","20",0,0,0
"123","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2006",-1.3371578455,"2006","2006","20",0,0,0
"124","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2016",-1.68492865562,"2016","2006","20",0,1,0
"126","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2012",-1.51759290695,"2012","2006","20",0,1,0
"128","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2013",-1.84498226643,"2013","2006","20",0,1,0
"130","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2014",-1.57370471954,"2014","2006","20",0,1,0
"131","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2008",-1.26500546932,"2008","2006","20",0,0,0
"133","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2010",-0.88981449604,"2010","2006","20",0,0,0
"135","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2015",-0.950032353401,"2015","2006","20",0,1,0
"136","UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2011",-1.59463143349,"2011","2006","20",0,1,0
"137","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2008",-0.97920358181,"2008","2006","21",0,0,0
"138","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2013",-2.49251103401,"2013","2006","21",0,1,0
"139","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2006",-0.612745046616,"2006","2006","21",0,0,0
"140","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2016",-1.36703658104,"2016","2006","21",0,1,0
"142","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2012",-0.86459672451,"2012","2006","21",0,1,0
"144","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2011",-0.845317423344,"2011","2006","21",0,1,0
"145","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2015",-2.55846428871,"2015","2006","21",0,1,0
